ERTE_fuerza_mayor_sectores,promedio_mes_2020-04
Servicios de comidas y bebidas,559570
"Comercio al por menor, excepto de vehículos de motor y motocicletas",333080
Servicios de alojamiento,149219
"Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",128708
Educación,109238
Venta y reparación de vehículos de motor y motocicletas,106700
"Actividades deportivas, recreativas y de entretenimiento",86326
Otros servicios personales,81234
Actividades sanitarias,71519
Actividades de construcción especializada,60589
Transporte terrestre y por tubería,49896
Servicios a edificios y actividades de jardinería,44491
"Fabricación de vehículos de motor, remolques y semirremolques",39957
Construcción de edificios,30317
Actividades administrativas de oficina y otras actividades auxiliares a las empresas,26469
"Fabricación de productos metálicos, excepto maquinaria y equipo",23831
Industria de la alimentación,22125
Almacenamiento y actividades anexas al transporte,19640
Actividades de juegos de azar y apuestas,19055
Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos,18182
"Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos",18147
Actividades de servicios sociales sin alojamiento,17891
Actividades inmobiliarias,17050
Fabricación de muebles,15182
Actividades de alquiler,14821
Actividades jurídicas y de contabilidad,13256
Fabricación de productos de caucho y plásticos,12924
Actividades asociativas,11937
Publicidad y estudios de mercado,10451
Reparación e instalación de maquinaria y equipo,10348
"Otras actividades profesionales, científicas y técnicas",10346
Artes gráficas y reproducción de soportes grabados,9584
Confección de prendas de vestir,8989
Actividades relacionadas con el empleo,8554
Industria textil,8349
"Programación, consultoría y otras actividades relacionadas con la informática",7973
Otras industrias manufactureras,7729
Fabricación de maquinaria y equipo n.c.o.p.,7657
"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical",6966
"Actividades de creación, artísticas y espectáculos",6686
Transporte aéreo,6443
Fabricación de otros productos minerales no metálicos,6421
"Reparación de ordenadores, efectos personales y artículos de uso doméstico",6414
Actividades de seguridad e investigación,6319
Actividades de las sedes centrales; actividades de consultoría de gestión empresarial,6182
"Industria de la madera y del corcho, excepto muebles; cestería y espartería",5094
Industria del cuero y del calzado,4957
Fabricación de bebidas,4566
"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones",4524
Industria química,3854
Ingeniería civil,3500
Servicios de información,3229
Actividades postales y de correos,3063
"Actividades de bibliotecas, archivos, museos y otras actividades culturales",3024
Edición,2887
Actividades auxiliares a los servicios financieros y a los seguros,2882
Telecomunicaciones,2581
Fabricación de material y equipo eléctrico,2503
Fabricación de otro material de transporte,2479
Asistencia en establecimientos residenciales,2351
Actividades veterinarias,2148
"Recogida, tratamiento y eliminación de residuos; valorización",2148
"Agricultura, ganadería, caza y servicios relacionados con las mismas",2122
"Fabricación de productos informáticos, electrónicos y ópticos",1824
"Servicios financieros, excepto seguros y fondos de pensiones",1792
Transporte marítimo y por vías navegables interiores,1696
Pesca y acuicultura,1276
Investigación y desarrollo,1215
Industria del papel,1193
Otras industrias extractivas,866
Actividades de programación y emisión de radio y televisión,642
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",497
Administración Pública y defensa; Seguridad Social obligatoria,468
Silvicultura y explotación forestal,438
Fabricación de productos farmacéuticos,410
Actividades de organizaciones y organismos extraterritoriales,292
Actividades de descontaminación y otros servicios de gestión de residuos,245
Actividades de los hogares como empleadores de personal doméstico,241
"Captación, depuración y distribución de agua",212
"Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria",210
Recogida y tratamiento de aguas residuales,167
Extracción de minerales metálicos,36
Coquerías y refino de petróleo,26
Industria del tabaco,24
Actividades de apoyo a las industrias extractivas,13
"Extracción de antracita, hulla y lignito",4
Extracción de crudo de petróleo y gas natural,0
Actividades de los hogares como productores de bienes y servicios para uso propio,0
