fecha,cod_ine,CCAA,mascarillas_acumulado_desde_2020-03-10
2020-03-22,01,ANDALUCÍA,444083
2020-03-22,02,ARAGÓN,72455
2020-03-22,03,ASTURIAS,60229
2020-03-22,04,BALEARES,49476
2020-03-22,05,CANARIAS,124165
2020-03-22,06,CANTABRIA,27589
2020-03-22,08,CASTILLA LA MANCHA,272718
2020-03-22,07,CASTILLA Y LEÓN,346365
2020-03-22,09,CATALUÑA,513393
2020-03-22,11,EXTREMADURA,52362
2020-03-22,12,GALICIA,117907
2020-03-22,17,LA RIOJA,56210
2020-03-22,13,MADRID,1212261
2020-03-22,14,MURCIA,56285
2020-03-22,15,NAVARRA,114816
2020-03-22,16,PAÍS VASCO,190734
2020-03-22,10,C. VALENCIANA,278308
2020-03-22,,INGESA ,19341
2020-03-22,18,CEUTA,22871
2020-03-22,19,MELILLA,14521
2020-03-26,01,ANDALUCÍA,798554
2020-03-26,02,ARAGÓN,153294
2020-03-26,03,ASTURIAS,107453
2020-03-26,04,BALEARES,99016
2020-03-26,05,CANARIAS,192709
2020-03-26,06,CANTABRIA,50967
2020-03-26,08,CASTILLA LA MANCHA,389318
2020-03-26,07,CASTILLA Y LEÓN,480613
2020-03-26,09,CATALUÑA,887073
2020-03-26,11,EXTREMADURA,122233
2020-03-26,12,GALICIA,226733
2020-03-26,17,LA RIOJA,96042
2020-03-26,13,MADRID,1922068
2020-03-26,14,MURCIA,135512
2020-03-26,15,NAVARRA,161008
2020-03-26,16,PAÍS VASCO,380315
2020-03-26,10,C. VALENCIANA,480753
2020-03-26,18,CEUTA,36478
2020-03-26,19,MELILLA,28128
2020-04-01,01,ANDALUCÍA,1630105
2020-04-01,02,ARAGÓN,386960
2020-04-01,03,ASTURIAS,287741
2020-04-01,04,BALEARES,272143
2020-04-01,05,CANARIAS,418511
2020-04-01,06,CANTABRIA,182298
2020-04-01,08,CASTILLA LA MANCHA,1009483
2020-04-01,07,CASTILLA Y LEÓN,1149224
2020-04-01,09,CATALUÑA,2616288
2020-04-01,11,EXTREMADURA,326067
2020-04-01,12,GALICIA,640216
2020-04-01,17,LA RIOJA,305638
2020-04-01,13,MADRID,4550904
2020-04-01,14,MURCIA,291808
2020-04-01,15,NAVARRA,390633
2020-04-01,16,PAÍS VASCO,1007465
2020-04-01,10,C. VALENCIANA,1210914
2020-04-01,18,CEUTA,68279
2020-04-01,19,MELILLA,66794
