fecha,cod_ine,Provincia,no_fuerza_mayor,fuerza_mayor,media_mes_fuerza_mayor
2020-04-30,04,Almería,1708,30568,24377.85
2020-04-30,11,Cádiz,4109,65211,50466.5
2020-04-30,14,Córdoba,3054,33115,24208.85
2020-04-30,18,Granada,2056,48326,38059.75
2020-04-30,21,Huelva,1027,19686,15254.9
2020-04-30,23,Jaén,2825,23183,18619.9
2020-04-30,29,Málaga,8101,122012,94620.55
2020-04-30,41,Sevilla,8388,104023,80331.15
2020-04-30,22,Huesca,1023,11030,7572.95
2020-04-30,44,Teruel,715,5414,3713.55
2020-04-30,50,Zaragoza,8732,60072,42307.6
2020-04-30,33,Asturias,6086,53135,39426.95
2020-04-30,04,Baleares,5729,135885,87588
2020-04-30,35,Las Palmas,6554,120855,90418.75
2020-04-30,38,Santa Cruz Tenerife,4353,99775,77128.4
2020-04-30,39,Cantabria,3975,31572,23753.6
2020-04-30,02,Albacete,1431,20622,16455.4
2020-04-30,13,Ciudad Real,827,20550,16403.65
2020-04-30,16,Cuenca,381,8690,6682.25
2020-04-30,19,Guadalajara,1176,12105,9023.65
2020-04-30,45,Toledo,1956,31604,24797.25
2020-04-30,05,Ávila,794,6167,4761.9
2020-04-30,09,Burgos,4269,20000,15577.55
2020-04-30,24,León,1125,21028,15102.45
2020-04-30,34,Palencia,604,10295,7528.1
2020-04-30,37,Salamanca,1399,16327,12093.95
2020-04-30,40,Segovia,696,7837,6061.9
2020-04-30,42,Soria,467,5408,4319
2020-04-30,47,Valladolid,3433,39528,28492.45
2020-04-30,49,Zamora,511,5617,4293.65
2020-04-30,08,Barcelona,61657,471143,359188.05
2020-04-30,17,Girona,5779,60155,47043.1
2020-04-30,25,Lleida,2067,25455,20264.4
2020-04-30,43,Tarragona,4876,47552,36354.95
2020-04-30,03,Alicante,13673,119210,88685.15
2020-04-30,12,Castellón,5402,29954,22195.25
2020-04-30,46,Valencia,30826,150569,113140.95
2020-04-30,10,Cáceres,849,13867,10789.8
2020-04-30,06,Badajoz,1895,23278,17512.45
2020-04-30,15,A Coruña,6183,63347,49900.7
2020-04-30,27,Lugo,1430,14552,12084.65
2020-04-30,32,Orense,1753,16002,12257.9
2020-04-30,36,Pontevedra,5431,56340,41928.3
2020-04-30,28,Madrid,57259,509048,374653.4
2020-04-30,30,Murcia,5062,74624,55338.8
2020-04-30,31,Navarra,3860,45897,35175
2020-04-30,01,Álava,2790,25322,18668.9
2020-04-30,20,Gipúzkoa,5748,46053,34011.9
2020-04-30,48,Bizkaia,6339,66620,50594.85
2020-04-30,26,La Rioja,1402,20216,15186.25
2020-04-30,51,Ceuta,389,2398,1870.1
2020-04-30,52,Melilla,149,3220,2177.9
2020-04-30,00,Total,312323,3074462,2308465.15
